Unnamed: 0,name,price
144,Xiaomi POCO X7,7.990.000đ
145,TECNO Spark Go 3,3.390.000đ
146,Huawei Mate X7,42.990.000đ
147,OPPO A5i Pro,5.990.000đ
148,OPPO Find X5 Pro,12.990.000đ
149,OPPO A6t,7.190.000đ
150,Samsung Galaxy S26 Plus,30.490.000đ
151,Samsung Galaxy S24,17.190.000đ
152,Samsung Galaxy Z Fold7,43.290.000đ
153,OPPO A79,7.060.000đ
154,OPPO A3,5.780.000đ
155,Nothing Phone 3A,8.790.000đ
156,Nubia Neo 2,4.290.000đ
157,TECNO CAMON 40 Pro,5.590.000đ
158,OPPO Reno10,8.490.000đ
159,OPPO A6t,5.190.000đ
160,Nubia V70 Design,2.790.000đ
161,TECNO SPARK 30 Pro Transformer,3.990.000đ
162,Nothing Phone 2A,7.190.000đ
163,OPPO A3,4.500.000đ
164,iPhone 13 Pro Max,23.990.000đ
165,Samsung Galaxy S26,26.490.000đ
166,Samsung Galaxy S25 Plus,25.490.000đ
167,Nubia Air,5.490.000đ
168,OPPO A3X,4.210.000đ
169,OPPO A6t,4.490.000đ
170,Meizu Mblu 21,2.690.000đ
171,HONOR X7d,7.190.000đ
172,HONOR X6c,4.040.000đ
173,HONOR 400,12.990.000đ
174,Nothing Phone 2A,8.490.000đ
175,Samsung Galaxy S25 Edge,21.490.000đ
176,TECNO Spark Go 2,2.490.000đ
177,Itel RS4,2.990.000đ
178,Meizu Mblu 22 Pro,2.690.000đ
179,HONOR 400 Lite,8.130.000đ
180,Nubia V70 Max,2.590.000đ
181,Samsung Galaxy Z Flip7,27.990.000đ
182,TECNO CAMON 40,5.290.000đ
183,TECNO CAMON 30,4.590.000đ
184,Nubia V80 Design,3.490.000đ
185,Nokia 220,980.000đ
186,Nokia HMD 105,690.000đ
187,HONOR X7d,5.890.000đ
188,Honor X5c Plus,3.190.000đ
189,trẻ em Masstel Alfa 5,1.050.000đ
190,Nubia V60 Design,2.690.000đ
191,HONOR Play 10,2.580.000đ
192,Nubia V80 Max,3.890.000đ
193,Nokia 105 Pro,750.000đ
194,vivo Y28,6.490.000đ
195,Honor X5c Plus,3.490.000đ
196,Masstel Fami 8,580.000đ
197,Viettel T2,530.000đ
198,Masstel Izi 15,420.000đ
199,vivo Y16,4.490.000đ
200,Benco S1 Pro,3.590.000đ
201,Nokia 110 Pro,820.000đ
202,Masstel izi T5 plus,530.000đ
203,OPPO Reno8,13.990.000đ
204,Masstel izi T8,530.000đ
205,Masstel izi 22,470.000đ
206,Masstel Fami 25,650.000đ
207,Masstel Izi S8,485.000đ
208,iPhone 12 Pro Max I,23.490.000đ
209,TECNO SPARK 30,3.290.000đ
210,Samsung Galaxy S23 Ultra,19.490.000đ
211,iPhone 15 Pro Max,31.990.000đ
212,Samsung Galaxy A16,4.990.000đ
213,iPhone 14 Plus,15.990.000đ
214,Samsung Galaxy Note 10 Plus,26.990.000đ
215,Samsung Galaxy S20,21.490.000đ
216,TECNO Spark 40,3.590.000đ
217,Samsung Galaxy S23 Ultra,22.290.000đ
218,Samsung Galaxy Z Flip6,19.990.000đ
219,Samsung Galaxy Note 10,13.800.000đ
220,TECNO CAMON 30S,4.090.000đ
221,Samsung Galaxy S22 Ultra,30.990.000đ
222,Itel P55 Plus,2.590.000đ
223,OPPO A58,4.090.000đ
224,Nubia RedMagic 8S Pro,18.990.000đ
225,realme 13,6.590.000đ
226,HONOR X7c,4.300.000đ
227,Samsung Galaxy Note 20 Ultra,32.990.000đ
228,Samsung Galaxy Note 20,23.990.000đ
229,Samsung Galaxy S20 FE,7.200.000đ
230,ZTE Nubia Z60S Pro,9.990.000đ
231,ASUS ROG Phone 6,14.490.000đ
232,OPPO A18,2.890.000đ
233,Nubia V70 Max,2.390.000đ
234,ZTE Blade V50 Design,2.790.000đ
235,Nubia A56,2.190.000đ
236,Samsung Galaxy A72,11.490.000đ
237,Samsung Galaxy A54,7.890.000đ
238,Nubia A36,2.490.000đ
239,HONOR X5b,2.160.000đ
240,TECNO SPARK 30C,2.190.000đ
241,Xiaomi 14 Pro,
242,Samsung Galaxy A21s,4.690.000đ
243,Samsung Galaxy A06s,
244,Masstel izi T2,500.000đ
245,Tecno Spark 7,
246,Xperia 10 V,
247,Xiaomi 14 Lite,
248,Samsung Galaxy A15,
249,OPPO Reno13F -,
250,Xiaomi 14,
251,Tecno Phantom V Fold,
252,Xiaomi 14,
253,Samsung Galaxy Note 20 Ultra,32.990.000đ
254,Xiaomi 13S Ultra,
255,Samsung A36 -,
256,Realme 9 SE,
257,Tecno Spark 9T,
258,Samsung Galaxy A34,
259,Tecno Pova 4,
260,Tecno Camon 19,
261,Huawei Enjoy 50 Pro,
262,Tecno Pova Neo,
263,OPPO Reno13F -,
264,OPPO Reno13F -,
265,OPPO Reno13F -,
266,Oppo A52,4.990.000đ
267,Xiaomi 12X,
268,Oppo A32,
269,vivo X200 Ultra,
270,Samsung Galaxy Z Silde,
271,Samsung Galaxy A50s,6.990.000đ
272,Xiaomi Redmi Note 9 Pro,5.750.000đ
273,Samsung Galaxy A23,
274,Samsung Galaxy M21s,
275,iPhone 15 Pro Max,
276,Apple iPhone 5S,
277,iPhone 15 Pro Max,
278,Samsung Galaxy M21s,
279,Tecno Pova Neo 2,
280,OPPO Reno13F - -,
281,OPPO Reno13F -,
282,Oppo A92,5.740.000đ
283,Samsung Galaxy S 2019,20.990.000đ
284,Oppo A31,4.190.000đ
285,Samsung Galaxy A70,9.290.000đ
286,Xiaomi Redmi 13X,
287,Samsung Galaxy S8,15.990.000đ
288,Samsung Galaxy M51,
289,Vsmart Joy 3,2.090.000đ
290,Nokia 7 2,6.190.000đ
291,Oppo Reno4 SE,
292,Vsmart Joy 2 Plus,1.990.000đ
293,ASUS ZenFone Max Pro M2,5.290.000đ
294,OPPO Find X8 mini,
295,Nokia 3 2,3.290.000đ
296,Bphone B40,
297,Xiaomi 14,
298,Samsung Galaxy XCover6 Pro,
299,Tecno Camon 19 Pro,
300,Tecno POP 6 Go,
301,Infinix Smart 9,
302,masstel izi 230,
303,Nothing Phone 3,
304,OPPO Find X9,21.990.000đ
