Unnamed: 0,name,price
800,Masstel Izi 55,
801,Masstel Hapi 15,
802,Xiaomi Redmi Note 13 Pro Plus,
803,Xiaomi 14 Lite,
804,OPPO A57e,
805,Xiaomi POCO C55,
806,Huawei Nova 11 SE,
807,vivo y12,
808,OPPO K11x,
809,OPPO Find X7,
810,vivo X Fold2,
811,Xiaomi POCO C50,
812,vivo Y18e,
813,Xiaomi 14 Civi,
814,Vivo Y35 plus,
815,Samsung Galaxy F34,
816,Huawei Nova 10z,
817,Xiaomi Civi,
818,Xiaomi Redmi 9 Activ,
819,Xiaomi 12S Ultra,
820,Vivo Y32t,
821,Oppo F17,
822,Huawei Nova 7 SE,
823,Vivo V29 Lite,
824,Samsung Galaxy A57,
825,Samsung Galaxy A57,
826,Xiaomi Redmi Note 13,
827,Xiaomi Mi MIX Fold,
828,OPPO Reno8 Pro Plus,
829,Oppo F17 Pro,
830,Vivo Y73t,
831,Xiaomi 14 Lite,
832,Xiaomi Redmi Note 11T,
833,Realme GT 2,
834,Xiaomi F9S,
835,Samsung A56 -,
836,Redmi K50i,
837,Huawei P30 Lite,7.490.000đ
838,Huawei P30,17.990.000đ
839,Realme X3 Pro,
840,OPPO Find N4 Flip,
841,vivo iQOO Z6x,
842,vivo V40 Lite,
843,Oppo K9s,
844,Xiaomi 14 Lite,
845,Vivo Y73t,
846,Realme Note 9 Prime,
847,Vivo Y74s,
848,realme GT 5 Pro SE,
849,Huawei Enjoy 20,
850,Samsung A56 -,
851,Realme V13,
852,Realme Narzo N55,
853,Oppo F17 Pro,
854,Huawei Nova 9 SE,
855,OPPO A16e,
856,Xiaomi Mi MIX Fold,
857,Vivo Y21T,
858,Xiaomi 12 Ultra,
859,Huawei Enjoy 20 Plus,
860,Oppo F19s,
861,Oppo K9 Pro,
862,OPPO Find N4 Flip,
863,Xiaomi Redmi 11 Prime,
864,vivo V40 Lite,
865,Samsung Galaxy Z Flip mới,
866,ROG Phone 6 Pro,
867,Xiaomi 12i HyperCharge,
868,Redmi K50i,
869,Huawei Enjoy 20,
870,Realme GT 2,
871,Xiaomi F9S,
872,Xiaomi 14,
873,HTC A102,
874,Vivo Y74s,
875,realme GT 5 Pro SE,
876,Xiaomi Redmi Note 11T,
877,Xiaomi 14 Ultra,
878,Huawei Enjoy 20 Plus,
879,OPPO K9x,
880,Vivo Y21T,
881,Xiaomi 12 Ultra,
882,Xiaomi Civi 2,
883,Vivo X70T Pro,
884,Samsung Galaxy Fold5,
885,Vivo T2,
886,Sharp Rouvo V,
887,HONOR Magic 7 Pro,
888,Tecno Pova Curve 2,
889,Tecno Camon Slim,
890,HONOR 600 Lite,
891,Xiaomi Redmi A7 Pro,
892,Xiaomi Redmi A7,
893,Tecno Pop 5 Pro,
894,Honor X9C,
895,Honor Play 7T,
896,Honor X8,
897,Masstel Izi 20,
898,Masstel Izi 55,
899,OnePlus Ace Pro,
900,OnePlus Nord 2 CE,
901,OnePlus 10 Ultra,
902,Masstel X9,
903,Motorola Rizr Rollable,
904,Motorola Moto E13,
905,HTC Wildfire E Star,
906,Vivo Y100A,
907,Huawei P50 Pro,
908,Oppo Reno5 Lite,
909,vivo Y18S,
910,TECNO Pova 8,
911,Samsung Galaxy A37,
912,Samsung Galaxy A37,
913,Xiaomi Redmi Note 14 Pro Plus,
914,Xiaomi Redmi Note 14 Pro Plus,
915,Vivo Y10,
916,HTC U11,
917,vivo Y36t,
918,Xiaomi Redmi Note 14 Pro Plus,
919,Vivo Y10,
920,Xiaomi Redmi Note 14 Pro Plus,
921,Google Pixel 8A,
922,OPPO Find X7 Ultra,
923,Xiaomi 14 Pro,
924,OPPO Reno12 FS,
925,Vivo Y77T,
926,vivo V30E SE,
927,Nokia X21,
928,Samsung Galaxy M53,
929,Vivo Y21e,
930,Vivo Y33e,
931,Xiaomi 11i HyperCharge,
932,Xiaomi 12 Lite,
933,Vivo Y1s,
934,Xiaomi Redmi 11,
935,Realme C30,
936,Vivo S15 Pro,
937,Xiaomi 11i HyperCharge,
938,Vivo S15 Pro,
939,Xiaomi Mi 11X,
940,Vivo T2x,
941,vivo V30E SE,
942,Redmi A1,
943,Samsung Galaxy M53,
944,Nokia X21,
945,Huawei Mate X2,
946,Xiaomi Mi 10T Lite,
947,Huawei Enjoy 20 Pro,
948,Samsung Galaxy M42,
949,Vivo Y11,
950,Vivo Y75s,
951,Vivo Y35M Plus,
952,Huawei Nova Y71,
953,vivo Y36t,
954,Vivo Y78m,
955,OPPO Find X7 Ultra,
956,Google Pixel 8A,
957,Vivo Y75s,
958,Vivo Y11,
959,Xiaomi Redmi K50 Ultra,
960,Huawei Mate X2,
961,HONOR 600 Lite,
962,Tecno Pova Curve 2,
963,Camon Slim,
964,Nubia Red Magic 7 Pro,
965,Nubia Red Magic 7S,
966,Honor Power,
967,Honor 90,
968,Tecno Spark 8P,
969,Tecno Spark 9,
970,OnePlus 11 Pro,
971,OnePlus 10,
972,OnePlus Nord 2T,
973,OnePlus Ace,
974,OnePlus 10R,
975,masstel izi 300,
976,Motorola Moto G23,
