name;price;display_size;display_tech;back_cam;front_cam;CPU;RAM;storage_cap;battery;resolution;screen_func;os;refresh_rate;GPU;waterproof;max_charging
realme 13+;6590000.0;6.67 inches;OLED;50MP 882 OIS + 2MP + Flicker;16MP, f/2.4;Dimensity 7300 Energy 5G;8 GB;256 GB;5000 mAh;1080 x 2400 pixels (FullHD+);16.7 triệu màu, 2000nits, 120HzAGC DT STAR2;Android 14;120 Hz;Mali-G615;IP65;
xiaomi poco x5 pro;7390000.0;6.67 inches;AMOLED;Camera góc rộng: 108MP, f/1.9, PDAF Camera góc siêu rộng: 8MP, f/2.2, 118˚ Camera Macro: 2MP, f/2.4;Camera góc rộng: 16 MP, f/2.4;Snapdragon 778G 5G (6 nm);8 GB;256 GB;5000 mAh;1080 x 2400 pixels (FullHD+);Tốc độ làm tươi 120Hz, 1 tỷ màu, Dolby Vision, HDR10+Độ sáng: 500 nit (thông thường), 900 nit (HBM/độ sáng cao nhất)  Kính cường lực Corning Gorilla Glass 5Gam màu rộng DCI-P3Độ sâu màu 10 bit395 ppiMàn hình SunlightChế độ đọc;MIUI 14 cho POCO;;;;
samsung galaxy a54;7390000.0;6.4 inches;Super AMOLED;Camera góc rộng: 50 MP, f/1.8, PDAF, OIS  Camera góc siêu rộng: 12MP, f/2.2, 123˚, 1.12µm  Camera macro: 5MP, f/2.4;"Camera góc rộng: 32 MP, f/2.2, 26mm, 1/2.8"", 0.8µm";Exynos 1380 (5 nm);8 GB;128 GB;5000 mAh;1080 x 2340 pixels (FullHD+);Tần số quét 120Hz, 1000 nits;Android 13;;;;
xiaomi 11t;0.0;6.67 inches;AMOLED;Camera góc rộng: 108MP, f/1.75  Camera góc siêu rộng: 8MP ultra-wide, 120° FOV f/2.2  Camera cận cảnh: 5 MP, f/2.4 AF (3cm-7cm);16MP, f/2.45;MediaTek Dimensity 1200-Ultra;8 GB;128 GB;5000 mAh;1080 x 2400 pixels (FullHD+);Tốc độ làm mới: 120 Hz, HDR10+, TrueColor, True Display, Corning®️ Gorilla®️ Glass Victus™;Android 11, MIUI 12.5;;;;
asus rog phone 6;16990000.0;6.78 inches;AMOLED;Camera chính góc rộng: 50 MP, f/1.9, PDAFCamera góc siêu rộng:13 MP, f/2.2 Camera macro: 5 MP;12 MP;Snapdragon® 8+ Gen 1;16 GB;512 GB;6000 mAh;1080 x 2448 pixels (FullHD+);1 tỷ màu, Tần số quét màn hình 165Hz, HDR10+, Độ sáng màn hình 800 nits (typ) và 1200 nits (peak), Corning Gorilla Glass Victus, Delta-E < 1;Android 12;;;;
samsung galaxy z flip4;11490000.0;6.7 inches;Dynamic AMOLED 2X;Camera góc rộng: 12 MP, f/1.8, PDAF, OIS  Camera góc siêu rộng: 12 MP, f/1.12, 123˚;10 MP, f/2.4;Snapdragon 8+ Gen 1 8 nhân;8 GB;256 GB;3700 mAh;1080 x 2640 pixels;Màn hình chính: 6.7 inches, Dynamic AMOLED 2X  Màn hình ngoài: 1.9 inches, Super AMOLED120Hz, HDR10+, 1200 nits (peak)Mặt kính cảm ứng chính: Ultra Thin Glass Mặt kính cảm ứng phụ: Corning Gorilla Glass Victus+;Android 12;;;;
samsung galaxy s21 plus;0.0;6.7 inches;Dynamic AMOLED;- Cảm biến chính (góc rộng) 12 MP, f/1.8, chống rung quang học OIS  - Cảm biến tele 64 MP, f/2.0, zoom quang 1.1x, zoom lai 3x  - Cảm biến góc cực rộng 12 MP, f/2.2;10 MP, f/2.2, hỗ trợ lấy nét theo pha kép Dual Pixel PDAF;Exynos 2100 8 nhân;8 GB;128 GB;- Li-Po 4,800 mAh  - Sạc nhanh có dây 25W, tương thích chuẩn PD 3.0  - Sạc nhanh không dây 15W  - Sạc ngược không dây 4.5W;1080 x 2400 pixels (FullHD+);120HzHDR10+Corning Gorilla Glass Victus;Android 11, One UI 3.0;;;;
samsung galaxy s21 ultra;0.0;6.8 inches;Dynamic AMOLED 2X;Ống kính chính góc rộng: 108MP, f/1.8 Ống kính zoom tiềm vọng: 10MP, zoom quang 10x Cảm biến tele: 10MP, zoom quang 3xCảm biến siêu rộng: 12MP, f/2.2 Cảm biến Laser AF;40 MP, f/2.2;Exynos 2100 8 nhân;12 GB;128 GB;5000 mAh;1440 x 3200 pixels (QHD+);Tần số quét 120HzCorning Gorilla Glass Victus1500 nits;Android 11;;;;
xiaomi 13 lite;8290000.0;6.55 inches;AMOLED;Camera chính: 50 MP, f/1.8, PDAF  Camera góc siêu rộng: 8 MP, f/2.2, 119˚ Camera macro: 2 MP, f/2.4;Camera góc siêu rộng: 32 MP, f/2.4Camera cảm chân dung: 8 MP;Chip Snapdragon 7 Gen 1 (4 nm);8 GB;256 GB;4500 mAh;1080 x 2400 pixels (FullHD+);68 triệu màu, Dolby Vision, HDR10+, 120Hz, 500 nits, Corning Gorilla Glass 5;Android 12, MIUI 14;;;;
itel p55 plus;2590000.0;6.6 inches;;Camera góc rộng: 50 MP;8 MP;Unisoc T606;8 GB;128 GB;5000mAh;;Tần số quét 90Hz;Android 13;;;;
xiaomi redmi note 11 pro plus;6090000.0;6.67 inches;AMOLED;Camera góc rộng: 108 MP, f/1.8, PDAF  Camera góc siêu rộng: 8 MP, f/2,2, FOV 120° Camera macro: 2 MP, f/2.4;16 MP, f/2,4;MediaTek Dimensity 920 5G (6 nm);8 GB;256 GB;Li-Po 4500 mAh;1080 x 2400 pixels (FullHD+);Tần số quét 120 Hz, Corning Gorilla Glass 5, 1200 nits (peak);Android 11, MIUI 12.5;;;;
tecno spark 20pro+;3990000.0;6.78 inches;AMOLED;Camera chính: 108MP, f/1.75 Camera Macro: 2MP, AI Camera, Đèn flash dọc bốn chiều;32MP, f/2.2;Mediatek Helio G99;8GB + Mở rộng 8GB;256 GB;5000mAh;1080 x 2436 pixels;Tần số quét 120Hz, 1000 nit, 1.07 tỷ màu, Kính Cường Lực Corning Gorilla Glass 5;Android 14;;;;
realme c55;3480000.0;6.72 inches;IPS LCD;Camera chính 64 MP  Camera phụ 2 MP;8 MP,  f/2.0;Helio G88;6 GB;128 GB;5000 MAh;1080 x 2400 pixels (FullHD+);Tần số quét 90 Hz,  680 nits;Android 13;;;;
masstel izi t2;0.0;2.4 inches;;;;Unisoc T107;48MB;128 MB;1800 mAh;240 x 320 pixels;16.7 triệu màu,  Kính nhựa,  Chuẩn màn hình QVGA;;;;;
itel 8010;0.0;2.0 inches;;;;;;128 MB;1000 mAh;120 x 160 pixels;QQVGA (120 x 160 Pixels);;;;;
xiaomi 14 pro;0.0;6.8 inches;Super AMOLED;64 MP + 64 MP + 64 MP;32 MP;Snapdragon 8+ Gen 1;8 GB;128 GB;5.000 mAh;;Tần số quét màn hình 120 Hz;;;;;
samsung galaxy a21s;0.0;6.5 inches;TFT LCD;"48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)";"13 MP, f/2.2, (wide), 1/3.1"", 1.12µm";Exynos 850;6 GB;64 GB;Li-Po 5000 mAh battery, Fast charging 15W;720 x 1600 pixel;;Android 10, One UI 2.0;;;;
samsung galaxy a06s;0.0;6.8 inches;IPS LCD;13 MP + 2 MP + 2 MP;5 MP;MediaTek Helio G88;6 GB;128 GB;6.000 mAh;;;;;;;
tecno spark 7;0.0;6.5 inches;IPS LCD;16.0 MP, ƒ/1.8  2.0 MP, ƒ/2.0;8.0 MP, ƒ/2.0;MediaTek Helio A25;2 GB;32 GB;6000 mAh;800 x 1280 pixels;Mặt kính cong 2.5D  70% NTSC  430 nits;Android 11;;;;
xperia 10 v;0.0;6.1 inches;FHD+ OLED;Camera góc rộng: 48 MP, f/1.8, 26mm, PDAF, OISCamera góc siêu rộng: 8 MP, f/2.2, 120˚, 16mm;Camera góc rộng: 8 MP, f/2.0, 26mm, HDR;Qualcomm SM6375 Snapdragon 695 5G (6 nm);8 GB;128 GB;5000 mAh;1080 x 2520 pixels;1 tỷ màu, HDRCorning Gorilla Glass VictusMàn hình Triluminos Tần số quét 60hz;Android 13;;;;
xiaomi 14 lite;0.0;6.66 inches;AMOLED;64 MP + 50 MP + 8 MP + 2 MP;32 MP;Snapdragon 888;8 GB;128 GB;4.600 mAh;;Tần số quét 144 Hz;;;;;
samsung galaxy a15;0.0;6.5 inches;Super AMOLED;Chính 50 MP & Phụ 5 MP, 2 MP;13MP;MediaTek Dimensity 6100+;8 GB;256 GB;5000 mAh;1080 x 2340 pixels (FullHD+);Tần số quét 90 HzĐộ sáng tối đa: 800 nitsMặt kính cảm ứng: Kính cường lực;Android 14;;;;
tecno spark 9t;0.0;6.6 inches;IPS LCD;Camera góc rộng:  13 MP, f/1.9, 27mm, AF  Camera góc sâu:  2 MP, f/2.4,   QVGA, f / 2.0;Camera góc rộng: 32 MP;Mediatek MT6765V / CB Helio G37 (12 nm);4 GB;64 GB;Li-Po 5000 mAh;720 x 1600 pixel;;Android 12;;;;
oppo reno13f;0.0;;;;;;12 GB;512 GB;;;;;;;;
xiaomi 14;0.0;6.36 inches;LTPO OLED;"Camera góc rộng: 50 MP, f/1.6, 23mm, 1/1.31"", 1.2µm, dual pixel PDAF, Laser AF, OISCamera tele: 50 MP, f/2.0, 75mm, PDAF (10cm - ∞), OIS, 3.2x optical zoomCamera góc siêu rộng: 50 MP, f/2.2, 14mm, 115˚";Camera góc rộng: 32 MP;Qualcomm Snapdragon 8 Gen 3 (4 nm);12 GB;256 GB;4610mAh;;Tần số quét 120Hz, 68 tỷ màu , Dolby Vision, HDR10+, 3000 nits (peak;Android 14;;;;
tecno phantom v fold;0.0;;LTPO AMOLED;"Camera góc rộng: 50MP, f/1.9, 1/1.3"", 1.2µm, PDAF  Camera Tele: 50MP, f/2.0, 1/2.8"", 0.64µm, PDAF  Camera góc siêu rộng: 1 MP, f/2.2, 120˚, 1/3"", 1.12µm, PDAF";"Camera góc rộng: 16 MP, f/2.5, 1/2.8"", 1.12µm  32 MP, f/2.5, 1/2.8"", 0.8µm";Mediatek Dimensity 9000+ (4 nm);12 GB;256 GB;5000 mAh;;1 tỷ màu  Tần số quét 120Hz  Độ sáng 1100 nits;Android 13;;;;
samsung galaxy note 20 ultra;0.0;6.9 inches;Dynamic AMOLED 2X capacitive touchscreen, 16M colorsDynamic AMOLED 2X, 16M colors, Corning Gorilla Glass Victus, HDR10+, Always-on display, 120Hz@FHD/60Hz@QHD refresh rate;"108 MP, f/1.8, 26mm (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS 12 MP, f/3.0, 103mm (periscope telephoto), 1.0µm, PDAF, OIS, 5x optical zoom, 50x hybrid zoom 12 MP, f/2.2, 13mm (ultrawide), 1/2.55"", 1.4µm";"10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF";Exynos 990 (7 nm+);12 GB;256 GB;Non-removable Li-Ion 4500 mAh battery Fast charging 25W USB Power Delivery 3.0 Fast Qi/PMA wireless charging Reverse wireless charging 9W;1440 x 3088 pixels (QHD+);;Android 10, One UI 2.1;;;;
xiaomi 13s ultra;0.0;6.73 inches;LTPO AMOLED;50 MP + 50 MP + 50 MP;32 MP;Snapdragon 8+ Gen 2;8 GB;256 GB;4.800 mAh;1440 x 3200 pixels (QHD+);Tần số quét 144 Hz;;;;;
samsung a36;0.0;;;;;;8 GB;256 GB;;;;;;;;
tecno pova neo 2;0.0;6.82 inches;IPS LCD;Camera góc rộng: 16 MP,, AF;8 MP;MediaTek Helio G85 (12nm);4 GB;64 GB;7000 mAh;720 x 1640 pixels;IPS LCD, 90Hz;Android 12;;;;
realme 9 se;0.0;6.6 inches;IPS LCD;"48 MP, f/1.8, 26mm (wide), 1/2"", 0.8µm, PDAF  2 MP, f/2.4, (macro)  2 MP, f/2.4, (deoth)";"16 MP, f/2.1, 26mm (rộng), 1/3.09 "", 1.0µm";Qualcomm SM7325 Snapdragon 778G 5G (6 nm);6 GB;128 GB;Li-Po 5000 mAh;2412 x 1080 pixels;IPS LCD  144Hz  480 nits (typ)  600 nits (HBM);Android 11, Realme UI 2.0;;;;
tecno camon 19 pro;0.0;6.8 inches;IPS LCD;Camera góc rộng: 64MP, f/1.6, 26mm, 0.8µm, PDAF, Laser AF, OIS  Camera tele: 50 MP, f/2.0, 50mm, 0.64µm, PDAF, zoom 2x  Camera độ sâu: 2MP, f/2.4,;"Camera góc rộng: 32MP, f/2.4, 26mm, 1 / 3.4 "", 0.8µm";Mediatek MT6781 Helio G96 (12 nm);8 GB;128 GB;5000  mAh;2460x1080 pixels;;Android 12;;;;
samsung galaxy a34;0.0;6.6 inches;AMOLED;"Camera góc rộng: 48MP, f/1.8, 26mm , 1/2.0"", 0.8µm, PDAF, OIS  Camera góc siêu rộng: 8MP, f/2.2, 123, 1/4.0"", 1.12µm  Camera macro: 5MP, f/2.4";"Camera góc rộng: 13MP, f/2.2, 1/3.1"", 1.12µm";Dimensity 1080 (5 nm);8 GB;256 GB;5.000 mAh;1080 x 2400 pixels (FullHD+);Tần số quét 120Hz  Corning Gorilla Glass 5;Android 13;;;;
huawei enjoy 50 pro;0.0;6.7 inches;;Camera chính: 50 MP, f/1.8  Macro 2 MP;8 MP,  f/2.0.;Qualcomm Snapdragon 680;8 GB;128 GB;5.000 mA;1080 x 2388 pixels;;HarmonyOS 2.0;;;;
tecno camon 19;0.0;6.8 inches;IPS LCD;Camera góc rộng: 64 MP, f/1.7, PDAF  Camera góc sâu: 2 MP, f/2.4;Camera góc rộng: 16 MP, f/2.0,;MediaTek Helio G85 (12nm);4 GB;128 GB;Li-Po 5000 mAh, không thể tháo rời;2460x1080 pixels;;Android 12, HIOS 8.6;;;;
oppo a52;4990000.0;6.5 inches;LTPS IPS LCD, 16 triệu màu;"12 MP, f/1.7, (wide), 1/2.8"", 1.25µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)";"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm - Global";Qualcomm SM6125 Snapdragon 665 (11 nm);6 GB;128 GB;Li-Po 5000 mAh, sạc nhanh 18W;1176 x 2400 pixel;;Android 10, ColorOS 7.1;;;;
xiaomi 12x;0.0;6.28 inches;OLED;Camera góc rộng: 50 MP, f/1.9, PDAF, OIS  Camera góc siêu rộng: 13 MP, f/2.4, 123  Camera tele: 5 MP, AF;32 MP;Qualcomm Snapdragon ™ 870;8 GB;128 GB;Li-Po 4500 mAh;1080 x 2400 pixels (FullHD+);1 tỉ màu, tần số quét 120Hz, Dolby Vision, HDR10+, 1100 nits (độ sáng tối đa), Corning Gorilla Glass Victus;Android 12, MIUI 13;;;;
oppo a32;0.0;6.5 inches;IPS LCD, 16 triệu màu;13 MP, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth);"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm";Qualcomm SM4250 Snapdragon 460 (11 nm);4 GB;64 GB;5000 mAh;720 x 1600 pixel;;Android 10;;;;
vivo x200 ultra;0.0;6.82 inches;AMOLED;Camera chính: 50MP, f/1.7Camera telephoto: 200MP, f/2.3Camera góc siêu rộng: 50MP, f/2.0;50MP;Snapdragon 8 Elite;12 GB;256 GB;6,000mAh;3168 x 1440 pixel;Tần số quét 120Hz, Độ sáng 4500 nits, Dolby Vision, HDR Vivid;Android 15;;;;
samsung galaxy z silde;0.0;;Dynamic AMOLED 2X;3 camera 12 MP;12 MP;Snapdragon 895 8 nhân;12 GB;256 GB;4400 mAh;;Độ phân giải 2k+, tần số quét 120 Hz.;Android 11;;;;
samsung galaxy a50s;0.0;6.4 inches;Super AMOLED;Chính 48 MP & Phụ 8 MP, 5 MP;32 MP;Exynos 9610 8 nhân 64-bit;4 GB;64 GB;Pin chuẩn Li-Po 4000 mAh;1080 x 2340 pixels (FullHD+);;Android v9.0 (Pie);;;;
xiaomi redmi note 9 pro;5750000.0;6.66 inches;IPS LCD;"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (macro), 1.12µm2 MP, f/2.4, (depth)";16 MP, f/2.5, (wide), 1.0µm;Qualcomm SM7125 Snapdragon 720G (8 nm);6 GB;64 GB;Li-Po 5020 mAh battery, Fast charging 30W;1080 x 2400 pixels (FullHD+);Corning Gorilla Glass 5;Android 10.0;;;;
samsung galaxy a23;0.0;6.6 inches;TFT LCD;50MP + 5MP + 2MP + 2MP;8MP;Snapdragon 680 (SM6225);6 GB;128 GB;5.000 mAh;;1080 pixels FHD+, 90 Hz TFT;Android 11;;;;
samsung galaxy m21s;0.0;6.4 inches;Super AMOLED, 420 nits (typ), Corning Gorilla Glass 3;"64 MP, (wide), PDAF 8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.2, (depth)";32 MP;Exynos 9611 (10nm);6 GB;128 GB;Li-Po 6000 mAh, sạc nhanh 15W;1080 x 2340 pixels (FullHD+);;Android 10, One UI 2.5;;;;
iphone 15 pro max;0.0;6.7 inches;Super Retina XDR OLED;Camera chính: 48MP, ƒ/1.78Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2Camera Tele: 12 MP, 77 mm, ƒ/2.8;;A17 Pro;;1 TB;;2796 x 1290-pixel;;;;;;
apple iphone 5s;0.0;4.0 inches;;"8 MP (f/2.2, 29mm, 1/3"", 1.5 µm), tự động lấy nét, LED flash kép (2 tone)";1.2 MP (f/2.4, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime;Apple A7 APL0698;;16 GB;Li-Po 1560 mAh;640 x 1136 pixels;;11;;;;
tecno pova 4;0.0;6.9 inches;IPS LCD;48 MP + 2 MP + 2 MP + 2 MP.;8 MP.;MediaTek Helio G95.;6 GB;128 GB;7.000 mAh.;;;;;;;
bphone b86s;0.0;6.1 inches;"Tràn đáy, Full HD+, rất nhạy & sáng, 2160x1080 pixels, 6.1"", công nghệ COF, Kính cường lực Gorilla Glass 5";Camera AI - Tiên phong nhiếp ảnh điện toán. Camera chính PDAF Dual pixel 2 cảm biến trong 1 ống kính (12Mp cho ảnh + 12Mp cho lấy nét), khẩu độ F/1.8 lấy nét cực nhanh và camera phụ hỗ trợ xóa phông chuyên nghiệp. Trí tuệ nhân tạo AI đem đến bức ảnh châ;Camera selfie góc rộng, chế độ làm đẹp tự nhiên;Qualcomm Snapdragon 675;4 GB;128 GB;Dùng thoải mái 1,5 ngày với chip tiết kiệm năng lượng cùng thiết kế phần cứng tối ưu cho viên pin 3.000mah, Quick Charge 4;2160 x 1090 pixels;;BOS 8.6 (Android 9);;;;
oppo reno8 t;0.0;5.7 inches;AMOLED;108MP;;Snapdragon 695;8 GB;128 GB;4800 mAh;;Tần số quét 120Hz, 1.07 tỷ màu;Coloros 13;;;;
vsmart live;0.0;6.2 inches;AMOLED;Chính 48 MP & Phụ 8 MP, 5 MP;20MP;Snapdragon 675 8 nhân 64-bit;6 GB;64 GB;4000 mAh;1080 x 2232 pixels (FullHD+);;Android 9.0 (Pie);;;;
samsung galaxy a70;0.0;6.7 inches;Super AMOLED 16 triệu màu, cảm ứng điện dung;32MP (f1.7) + 8MP (f2.2) + 5MP (f2.2);32 MP, HDR, Đèn Flash trợ sáng, Tự động lấy nét, Quay video Full HD, Chế độ làm đẹp, Nhận diện khuôn mặt;Snapdragon 675;6 GB;128 GB;4,500mAh;1080 x 2340 pixels (FullHD+);;Android 9 Pie;;;;
nokia 3.2;0.0;6.26 inches;IPS LCD;"13 MP, f/2.2, 1/3"", 1.12µm, AF";5 MP, f/2.2, 27mm (wide), 1.12µm;Qualcomm SDM429 Snapdragon 429;3 GB;32 GB;Li-Ion 4000 mAh;720 x 1520 pixels;;Android 9.0 (Pie);;;;
nothing phone 3;0.0;6.77 inches;AMOLED;50MP, ƒ/1.88 + 8MP, ƒ/2.2 (Góc siêu rộng) + 50M, ƒ/2.55 (tele);50MP, ƒ/2.2;Qualcomm SD7635 Snapdragon 7s gen3;8 GB;256 GB;5000mAh;1080 x 2392 pixels;120Hz, 387 ppi, 3000nit, 1.07 tỷ màu, 10 bits, NTSC 105%, DCI-P3 100%, độ tương phản 1,000,000：1, HDR10+;Nothing OS 3.1 (Based on Android 15);;;;
oppo a92;5740000.0;6.5 inches;IPS LCD;"Camera chính: 48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF Camera siêu rộng: 8 MP, f/2.2, 119° (ultrawide), 1/4.0"", 1.12µm Camera xoá phông: 2 MP, f/2.4, (depth) Camera B/W: 2 MP B/W, f/2.4";16 MP, f/2.0, (wide), 1/3.1, 1.0µm;Qualcomm SM6125 Snapdragon 665 (11 nm);8 GB;128 GB;Li-Po 5000 mAh, Fast charging 18W;1080 x 2400 pixels (FullHD+);;Android 10, ColorOS 7.1;;;;
nokia 7.2;0.0;6.3 inches;IPS LCD;Chính 48 MP & Phụ 8 MP, 5 MP;20 MP;Qualcomm Snapdragon 660 8 nhân;4 GB;64 GB;Pin chuẩn Li-Ion 3500 mAh;1080 x 2340 pixels (FullHD+);HDR10Corning Gorilla Glass 3;Android 9.0 (Pie);;;;
oppo find x8 mini;0.0;6.3 inches;OLED;Camera chính: 50 megapixel, f/1.8Camera góc rộng: 50 megapixel, f/2.0Camera tele: 50 megapixel, f/2.8;;Dimensity 9400;12 GB;256 GB;5,600mAh;;Độ phân giải 1.5K, Tần tần số quét thích ứng 1-120Hz;ColorOS 15;;;;
samsung galaxy s 2019;0.0;6.1 inches;;3 Camera;;Exynos;;128 GB;3.500mAh;;;9.0 (Pie);;;;
bphone b40;0.0;;Đang cập nhật;Đang cập nhật;Đang cập nhật;Đang cập nhật;4 GB;64 GB;Đang cập nhật;;;Đang cập nhật;;;;
asus zenfone max pro m2;0.0;6.3 inches;IPS FHD+;"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF5 MP, f/2.4, 1.12µm, depth sensor";13MP, f/2.0, 1.12µm;Snapdragon 660 AIE 14nm;;32 GB;5000mAh;1080 x 2280 pixels (FullHD+);;Android 8.1 (Oreo);;;;
vsmart joy 2 plus;0.0;6.2 inches;LCD HD+;13MP - 5MP;8MP;;2 GB;32 GB;4500 mAh;;;;;;;
samsung galaxy s8;0.0;5.8 inches;Cảm ứng điện dung Super AMOLED, 16 triệu màu;"12 MP (f/1.7, 26mm, 1/2.5"", 1.4 µm, Dual Pixel PDAF), tự động lấy nét nhận diện theo giai đoạn, OIS, LED flash";"8 MP (f/1.7, 25mm, 1/3.6"", 1.22 µm), tự động lấy nét, 1440p@30fps, gọi video kép, HDR tự dộng";Samsung Exynos 9 Octa 8895;;64 GB;Li-ion 3000 mAh;1440 x 2960 pixels (QHD+);;7.0 (Nougat);;;;
tecno pop 6 go;0.0;6.0 inches;IPS LCD;5 MP;5 MP;;2 GB;32 GB;4000 mAh;480 x 960 pixel;;Android 12 Go Edition.;;;;
xiaomi redmi 13x;0.0;6.79 inches;IPS LCD;Chính 108 MP & Phụ 2 MP;13 MP;MediaTek Helio G91 Ultra 8 nhân;6 GB;128 GB;5030 mAh;1080x2460 pixels;Tần số quét 90 HzĐộ sáng tối đa 550 nitsKính cường lực Corning Gorilla Glass 3;Xiaomi HyperOS (Android 14);90 Hz;Mali-G52 MC2;IP53;33 W
infinix smart 9;0.0;6.7 inches;IPS LCD;13 MP, f/1.9, 27mm (rộng), AF;8 MP, f/2.0, (rộng);Mediatek Helio G81;3 GB;64 GB;5000mAh;720 x 1600 pixel;120Hz, 500 nits, Tỷ lệ 20:9, 262 ppi;Android 14, XOS 14;;;;
tecno pova neo;0.0;6.8 inches;IPS LCD;Camera góc rộng: 50 MP, AF  QVGA;8 MP;MediaTek MT6833P Mật độ 810 (6 nm);4 GB;128 GB;6000 mAh;2460x1080 pixels;IPS LCD, 120Hz, 500 nits;Android 12;;;;
samsung galaxy xcover6 pro;0.0;6.6 inches;IPS LCD;Camera gốc rộng: 50 MP, f/1.8, PDAF Camera gốc siêu rộng: 8 MP, f/2.2, 123˚;Camera gốc rộng: 13 MP, f/2.0;Snapdragon 778G 5G (6 nm);6 GB;128 GB;Li-Po 4050 mAh;1080 x 2408 pixels;;Android 12, One UI 4.1;;;;
iphone 15 plus;17690000.0;6.7 inches;Super Retina XDR OLED;Chính 48 MP & Phụ 12 MP;12MP, ƒ/1.9;Apple A16 Bionic;6 GB;128 GB;4383 mAh;2796 x 1290-pixel;Dynamic Island HDR display True Tone Wide color (P3) Tần số quét 60 HzHaptic TouchLớp phủ oleophobia chống dấu vân tayĐộ sáng tối đa: 2000 nits Mật độ điểm ảnh 460 ppi;iOS 17;;Apple GPU 5 nhân;IP68;20 W
iphone 15 pro;23990000.0;6.1 inches;Super Retina XDR OLED;Camera chính: 48MP, 24 mm, ƒ/1.78, Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2Camera Tele 3x: 12 MP, 77 mm, ƒ/2.8;12MP, ƒ/1.9;Apple A17 Pro 6 nhân;8 GB;128 GB;3274 mAh;2556 x 1179 pixels;Tốc độ làm mới 120Hz460 ppiHDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1 Độ sáng 2.000 nit;iOS 17;;;;
iphone 13 pro max;22990000.0;6.7 inches;Super Retina XDR OLED;Camera góc rộng: 12MP, ƒ/1.5  Camera góc siêu rộng: 12MP, ƒ/1.8  Camera tele : 12MP, /2.8;12MP, ƒ/2.2;Apple A15 Bionic 6 nhân;6 GB;128 GB;4352mAh;2778 x 1284 pixel;Tần số quét 120 Hz, 1200 nits, Super Retina XDR với ProMotion 6.1‑inch,  OLED, 458 pp, HDR display, True Tone, Wide color (P3), Haptic Touch;iOS15;;;;
xiaomi 14t;11290000.0;6.67 inches;AMOLED;Camera chính: 50MP, 23mm, ƒ/1 7 Cảm biến hình ảnh IMX906 của Sony 2 0 m Super Pixel Máy ảnh tele: 50MP, 50mm, ƒ/1 9Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2;32MPƒ/2,0FOV 80,8˚Chế độ ban đêmHDRTính năng chụp ảnh bằng lòng bàn tay;MediaTek Dimensity 8300-Ultra;12 GB;512 GB;5000 mAh;1220 x 2712 pixels;144Hz, 1,5K CrystalRes AMOLED,  446 ppi, 4000 nits, Độ sâu màu 12 bit, Làm mờ PWM lên đến 3840HDR10+, Dolby Vision;;;;;
iphone 12 pro max i vn;27590000.0;6.7 inches;OLED;"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)";"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)";Apple A14 Bionic (5 nm);6 GB;256 GB;Li-Ion, sạc nhanh 18W, sạc không dây 15W, USB Power Delivery 2.0;1284 x 2778 pixels;HDR10Dolby VisionTrue-toneĐộ sáng 800 nits;iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành);;;;
iphone 14 plus;15990000.0;6.7 inches;Super Retina XDR OLED;Camera chính: 12MP, 26 mm, ƒ/1.5Camera góc siêu rộng: 12MP, 13 mm, ƒ/2.4, 120°;12MP khẩu độ f/1.9, Autofocus;Apple A15 Bionic;6 GB;128 GB;4325 mAh;2778 x 1284 pixel;Tần số quét 60 Hz, 458 ppi, HDR, True Tone, độ sáng 1200 nits , màn hình chống bám vân tay, 2,000,000:1 Kính cường lực Ceramic Shield;iOS 16;;;;
