name;price;display_size;display_tech;back_cam;front_cam;CPU;RAM;storage_cap;battery;resolution;screen_func;os;refresh_rate;GPU;waterproof;max_charging
nokia 105 pro;0.0;1.77 inches;IPS LCD;;;Unisoc T107;48 MB;128 MB;1450mAh;QQVGA (120 x 160 Pixels);;Series 30+;;;;2.75 W
masstel izi 15;420000.0;1.77 inches;;;;Unisoc UMS9117;;;1000 mAh;;QQVGA;;;;;
honor x5c plus;3090000.0;6.74 inches;TFT LCD;Camera chính 50MP (f/1.8) + QVGA 0.08MP;Camera 5 MP (khẩu độ f/2.2);MediaTek Helio G81;4 GB;64 GB;5130mAh (giá trị định mức)5260mAh (giá trị điển hình);720 x 1600 pixel;Tần số quét 90Hz, 16,7 triệu màu;Android 15, MagicOS 9;90 Hz;Mali-G52;;15 W
benco s1 pro;3590000.0;6.8 inches;;64MP;16MP;Unisoc T616;8GB + Mở rộng 8GB;256 GB;5000mAh;1080 x 2640 pixels;;Android 13;;;;
masstel fami 8;0.0;1.77 inches;;;;UNISOC T107;;128 MB;1400 mAh;128 x 160 pixels;Công nghệ màn hình: QQVGA262K màu;;;;;
nokia 110 pro;0.0;1.77 inches;IPS LCD;QVGA;QVGA (320 x 240 pixels);Unisoc T107;48 MB;128 MB;1450mAh;QQVGA (120 x 160 Pixels);;S30+;;;;5 W
honor x5b;0.0;6.56 inches;IPS LCD;13MP (f/1.8);5MP (khẩu độ f2.2);MediaTek Helio G36;4 GB;64 GB;5200mAh, 5V/2A;720 x 1612 (HD+);;MagicOS 8.0 (Dựa trên Android 14);90 Hz;;;
viettel t2;530000.0;2.4 inches;;0.08MP;;T107;48MB;128 MB;1400 mAh;;2.4'' QVGA TN;Mocor(RTOS);;;;
masstel izi t5 plus;0.0;2.4 inches;TFT;;;UNISOC T107;48 MB;128 MB;2300 mAh;240 x 320 pixels;;;;;;
oppo reno8;0.0;6.4 inches;AMOLED;Camera chính: 50 MP, f/1.8  Camera phụ: 8 MP f/2.4  Camera Marco: 2 MP f/2.2;32 MP, f/2.4;MediaTek Dimensity 1300 8 nhân;8 GB;256 GB;Li-Po 4500 mAh;1080 x 2400 pixels (FullHD+);Kính cường lực Corning Gorilla Glass 5Tần số quét 90 Hz600 nits, 16.7 triệu màu, 409 PPI;Android 12;;;;
masstel izi t8;0.0;2.4 inches;;;;;;;2300mAh;;Màu màn hình: 262KĐộ phân giải: QVGA 240*320;;;;;
masstel izi s8;0.0;1.77 inches;TFT LCD;;;T107 (UMS9117);;;1400mAh;;Độ phân giải: QQVGA (128 × 160)Phông chữ to, dễ sử dụng;;;;;
masstel izi 22;0.0;1.77 inches;;;;ASR Platform;;;1000 (thời gian chờ 7-10 ngày);128 x 160 pixels;262KHiển thị rõ ràng, phông chữ lớn, dễ đọc;;;;;
masstel fami 25;0.0;1.77 inches;TFT LCD;;;T107 (UMS9117);48MB;128 MB;1400 mAh;;QQVGA (160 × 128);;;;;
