name,Antutu_Score
sony xperia 1 5,1761879
samsung galaxy s23,1760868
oppo find x6,1755232
xiaomi redmi k70,1747279
oneplus 11,1745155
samsung galaxy s23,1744323
xiaomi 13,1738631
honor magic v2,1738135
infinix gt 30,1737884
oppo reno 13,1727874
oppo reno 14,1727118
zte nubia red magic 8s,1720028
samsung galaxy s23,1718225
huawei nova 15,1717959
oneplus nord ce5,1717334
motorola edge 60,1712750
xiaomi redmi k60,1710757
oneplus open,1704161
huawei nova 15,1702470
xiaomi redmi k60,1700759
xiaomi 13,1699636
realme gt neo 6,1695482
asus zenfone 10,1684922
honor magic 5,1682877
zte nubia red magic 8 proplus,1681314
honor magic 5,1664953
realme p3,1664433
oppo reno 13,1662456
oneplus nord 4,1641745
asus zenfone 9,1640834
oneplus ace 3v,1637833
honor 90 gt,1634078
honor 200,1633920
xiaomi 12s,1627862
huawei pura 90 promax,1617928
google pixel 10 xl,1617706
xiaomi redmi k70e,1617365
xiaomi poco x6,1609335
huawei pura 90,1607132
tecno camon 40 premier,1605546
zte nubia red magic 7s,1601869
realme gt 6t,1601413
huawei mate 80,1589460
google pixel 9 xl,1585585
xiaomi 14t,1584743
huawei mate 70,1549670
samsung galaxy s22,1549060
huawei nova 14,1548677
realme gt5,1547536
motorola edge 30,1542434
huawei mate x3,1530652
google pixel 9,1520638
sony xperia 5 5,1519456
huawei mate 70,1504969
huawei mate 70 proplus,1504969
oneplus nord 3,1504467
google pixel 9,1499601
huawei mate 70,1497741
xiaomi 12t,1494045
realme gt3,1486727
oneplus ace 2,1481118
samsung galaxy s23,1479904
asus rog 6,1478125
samsung galaxy s22,1470636
xiaomi 12s,1470580
oneplus 11r,1470011
google pixel 10,1467600
realme gt neo 5,1466734
honor 90,1463370
asus rog 6d,1453683
huawei pura 80 proplus,1453159
nothing 4a,1452717
xiaomi redmi note 12 turbo,1446990
google pixel 8,1443431
vivo v70,1437195
samsung galaxy s23,1436963
nothing 2,1436722
google pixel 8a,1433693
xiaomi redmi k60,1425621
google pixel 9 fold,1401321
google pixel 10a,1400792
samsung galaxy z flip 4,1399664
huawei pura 80,1395526
oppo reno 15,1394716
realme 16 proplus,1392392
samsung galaxy a57,1390055
zte nubia red magic 7,1384444
motorola edge 70,1384361
motorola razr,1383968
huawei pura 80,1383793
xiaomi poco f5,1383455
oneplus 10t,1380993
samsung galaxy z fold 4,1378803
samsung galaxy s22,1378405
oneplus ace 2v,1374907
motorola edge,1352691
huawei p60,1333248
google pixel 8,1328640
huawei mate 50,1324913
xiaomi 12,1322176
google pixel 9a,1321069
sony xperia 1 4,1320406
oppo reno 15c,1307414
samsung galaxy s22,1303326
xiaomi poco f4 gt,1303229
infinix zero 40,1301107
xiaomi 12,1297778
google pixel 10,1293474
oppo reno 11,1292987
infinix gt 20,1290289
motorola thinkphone,1289763
huawei p60,1288852
realme gt2,1286054
realme gt neo 5,1285461
xiaomi poco f5,1283407
realme p4,1282176
samsung galaxy s22,1281210
samsung galaxy s22,1277041
vivo v60,1261932
huawei pura 90,1248520
samsung galaxy a56,1245065
sony xperia 5 4,1242193
vivo iqoo neo 7,1241266
realme 15,1235431
sony xperia 1 3,1232200
asus rog 5,1227639
vivo v27,1219177
oneplus 10,1217154
vivo iqoo z11x,1214772
vivo t4,1213003
oppo find x5,1210655
google pixel 7,1210495
motorola edge 30 fusion,1208784
vivo v30,1206715
tecno camon 30,1203771
honor magic 4,1200941
samsung galaxy z fold 3,1192547
oneplus 9,1185805
vivo v70,1183301
xiaomi redmi note 12t,1180690
huawei pura 80,1177494
xiaomi 13t,1174898
tecno camon 30 premier,1173835
cubot 5,1160864
motorola razr,1158987
huawei pura 70,1155792
motorola edge 70 fusion,1149292
nothing 4a,1148725
huawei p50,1141829
samsung galaxy s21,1138928
oneplus ace,1138764
huawei pura 70,1136063
oneplus 9,1135878
oppo find x3,1123143
google pixel 7a,1121912
oppo find x5,1119208
vivo v29,1117927
huawei nova 12,1117236
google pixel 7,1113925
xiaomi 12t,1109632
realme 14 proplus,1107631
xiaomi mi 11,1102627
samsung galaxy z flip 3,1102342
xiaomi mi 11,1100336
realme gt neo 3,1098024
realme gt neo 2,1097867
xiaomi 11t,1093350
motorola edge 50,1090709
honor 400,1087371
oneplus 9rt,1081812
xiaomi poco x4 gt,1080106
xiaomi black shark 4,1077688
honor 600,1077092
samsung galaxy s21,1074182
realme p3,1070580
infinix note 60,1067103
nothing 3a,1063102
huawei pura 70,1062256
tecno camon 50,1059715
oneplus nord ce4,1051702
realme gt,1050531
oppo reno 8,1050251
xiaomi mi 10,1049872
nothing 3a,1047843
samsung galaxy s21,1046930
honor 100,1045163
google pixel 6,1044454
vivo t4,1043525
nothing 2a,1037391
huawei nova 15,1033121
vivo iqoo z10,1032527
tecno camon 20,1031881
huawei nova 12,1030315
google pixel 6,1027182
fairphone 6,1027025
infinix gt 10,1026838
vivo v30,1026500
huawei nova 14,1021894
vivo iqoo z9,1019254
